run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
clean,WordSim353,Word2Vec CBOW,0.0547734365,0.2926048596,10000
clean,WordSim353_JA-EN,Word2Vec CBOW,0.0547734365,0.2926048596,10000
clean,WordSim353,Word2Vec Skip-gram,0.2035369008,0.4365711917,10000
clean,WordSim353_JA-EN,Word2Vec Skip-gram,0.2035369008,0.4365711917,10000
clean,WordSim353,BERT (Base),0.194386592,0.3883570224,10000
clean,WordSim353_JA-EN,BERT (Base),0.194386592,0.3883570224,10000
clean,WordSim353,BERT (Fine-Tuned),0.2779306506,0.4670864462,10000
clean,WordSim353_JA-EN,BERT (Fine-Tuned),0.2779306506,0.4670864462,10000
