run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
full,WordSim353,Word2Vec CBOW,0.0750088174,0.318886308,10000
full,WordSim353_JA-EN,Word2Vec CBOW,0.0750088174,0.318886308,10000
full,WordSim353,Word2Vec Skip-gram,0.2199647842,0.4449965439,10000
full,WordSim353_JA-EN,Word2Vec Skip-gram,0.2199647842,0.4449965439,10000
full,WordSim353,BERT (Base),0.194386592,0.3883570224,10000
full,WordSim353_JA-EN,BERT (Base),0.194386592,0.3883570224,10000
full,WordSim353,BERT (Fine-Tuned),0.2469890245,0.4357837376,10000
full,WordSim353_JA-EN,BERT (Fine-Tuned),0.2469890245,0.4357837376,10000
