target,word,similarity
ma,essence,0.495042026
ma,meaning,0.4794316888
ma,atmosphere,0.4722379446
ma,engawa,0.4665927589
ma,dialogical,0.4620286822
ma,participant,0.4438850284
ma,infinite,0.4415646791
ma,togetherness,0.4414911568
ma,sleeping,0.4339856803
ma,silence,0.4288966656
mu,novel,0.4310128391
mu,phrase,0.4307585657
mu,essence,0.4262071252
mu,consciousness,0.4120833278
mu,resonance,0.3969774544
mu,word,0.3930022717
mu,huainanzi,0.3906180263
mu,dharma,0.38762936
mu,connotation,0.3865034878
mu,uncertainty,0.3822803199
wabi,calthorpe,0.5025327802
wabi,zumthor,0.4969973266
wabi,behrens,0.4668344855
wabi,eisenman,0.444560051
wabi,holkham,0.443569541
wabi,mirrors,0.4347786605
wabi,watarai,0.4251509905
wabi,dreams,0.4100161493
wabi,interlock,0.4029784203
wabi,abelard,0.4027614295
sabi,hi,0.5621439815
sabi,cha,0.4884939492
sabi,beauty,0.4855534136
sabi,phaestus,0.4848722219
sabi,ornately,0.477050662
sabi,fordist,0.4391486049
sabi,imperfect,0.4376250505
sabi,imperfection,0.4350355566
sabi,weathering,0.4325649142
sabi,confession,0.4185144305
en,pond,0.4888307452
en,engawa,0.4719532728
en,reed,0.4556708932
en,water,0.4379188418
en,stream,0.4284811318
en,moon,0.4277788997
en,yard,0.42069906
en,bonsai,0.4197124839
en,waterfall,0.4156934917
en,niwa,0.3957092464
engawa,floor,0.4841149151
engawa,en,0.4719533026
engawa,ma,0.4665927291
engawa,raise,0.4324492216
engawa,open,0.4246264994
engawa,storehouse,0.412378788
engawa,moya,0.4121749699
engawa,sit,0.404502809
engawa,mat,0.4040846229
engawa,ground,0.403287679
shōji,slide,0.7113684416
shōji,door,0.6348219514
shōji,paper,0.6205089688
shōji,lattice,0.6133586764
shōji,translucent,0.6070940495
shōji,fusuma,0.5720817447
shōji,shutter,0.569611609
shōji,opaque,0.5375865102
shōji,hang,0.5363442898
shōji,groove,0.5353110433
fusuma,partition,0.6131420135
fusuma,slide,0.5833317637
fusuma,shōji,0.5720817447
fusuma,alcove,0.5115454197
fusuma,kake,0.476043433
fusuma,cupboard,0.4748355746
fusuma,door,0.4700031281
fusuma,byōbu,0.4563476145
fusuma,ama,0.4321062863
fusuma,paneled,0.43046242
tokonoma,shelving,0.5669057965
tokonoma,room,0.5602110624
tokonoma,desk,0.5251326561
tokonoma,mat,0.5241267681
tokonoma,shelf,0.513214469
tokonoma,staggered,0.4873973429
tokonoma,tatami,0.4861823618
tokonoma,alcove,0.4790295064
tokonoma,mizuya,0.4616211355
tokonoma,chashitsu,0.4512562156
chigaidana,alcove,0.5939528942
chigaidana,tokonoma,0.4394131601
chigaidana,cupboard,0.4175358713
chigaidana,hang,0.4082708657
chigaidana,shelving,0.3995932043
chigaidana,vase,0.3820166886
chigaidana,fusuma,0.3739633262
chigaidana,swinge,0.3738869727
chigaidana,upward,0.3718919754
chigaidana,arrangement,0.3694394827
doma,earthfloored,0.5346478224
doma,medianum,0.4955017269
doma,floored,0.4749988019
doma,storage,0.4448806643
doma,sleeping,0.4262979925
doma,outdoor,0.4203563035
doma,rear,0.4190385938
doma,packed,0.4168486595
doma,daidokoro,0.4090847671
doma,floor,0.4067277908
genkan,barragán,0.5397976041
genkan,mimar,0.4102063477
genkan,breslau,0.3995304108
genkan,kodama,0.3840997219
genkan,concerted,0.3831705153
genkan,awazu,0.3681204915
genkan,mandapam,0.367662251
genkan,izumo,0.3638727069
genkan,seasonally,0.3637366295
genkan,athos,0.3585095704
tomeishi,stay,0.4622913599
tomeishi,ikezuishi,0.4468336999
tomeishi,wine,0.4138423204
tomeishi,wash,0.3925991952
tomeishi,horticulture,0.3914717734
tomeishi,waterfall,0.3865236938
tomeishi,niwa,0.3855419159
tomeishi,font,0.3821931779
tomeishi,tail,0.3803648949
tomeishi,cleanse,0.3769760728
ikezuishi,emerald,0.4989293218
ikezuishi,ikezu,0.4940351248
ikezuishi,tomeishi,0.4468336999
ikezuishi,sand,0.4410531223
ikezuishi,strange,0.432916373
ikezuishi,malicious,0.4276251197
ikezuishi,moss,0.4266491532
ikezuishi,waterway,0.4184858203
ikezuishi,waterfall,0.4183553159
ikezuishi,weigh,0.4171930254
shakkei,scenery,0.4890315831
shakkei,landscape,0.4581025243
shakkei,poem,0.454008311
shakkei,yard,0.4483572543
shakkei,japanese,0.4340875745
shakkei,borrow,0.4294577539
shakkei,kaiyū,0.3985856771
shakkei,yarding,0.3972258568
shakkei,pogue,0.3955237567
shakkei,ikedori,0.3926201463
roji,chanoyu,0.4305908978
roji,informality,0.4163134992
roji,activism,0.3986925483
roji,regularly,0.3968041837
roji,ichi,0.3959192038
roji,marker,0.3911235332
roji,plot,0.385495007
roji,stourhead,0.3815731704
roji,yunqi,0.3811092973
roji,coffee,0.3684718907
torii,shrine,0.5718455911
torii,sha,0.5494714379
torii,jinja,0.5082451105
torii,zukuri,0.5064541101
torii,myōjin,0.5055918694
torii,gū,0.5019600391
torii,kasagi,0.4737342596
torii,nakayama,0.4629618526
torii,hizen,0.4531800151
torii,straddle,0.4527448714
shimenawa,mikoshi,0.3814862072
shimenawa,daiwa,0.3719616234
shimenawa,resilient,0.3536800146
shimenawa,gyokuro,0.3524961174
shimenawa,rope,0.3513651788
shimenawa,matcha,0.3513485193
shimenawa,buyer,0.3499346375
shimenawa,smile,0.3494692147
shimenawa,brigantium,0.3467576504
shimenawa,easy,0.3464992046
tsuboniwa,promenade,0.4501383901
tsuboniwa,stroll,0.4458988905
tsuboniwa,niwa,0.4452373683
tsuboniwa,enclosed,0.4422529936
tsuboniwa,kitchen,0.4192471802
tsuboniwa,sakuteiki,0.4152892232
tsuboniwa,ancillary,0.413269639
tsuboniwa,pond,0.4076727331
tsuboniwa,riad,0.3940610886
tsuboniwa,irregular,0.3877110481
byōbu,screen,0.5305962563
byōbu,panel,0.4799646139
byōbu,paper,0.4727017879
byōbu,painting,0.4608602524
byōbu,fusuma,0.4563475847
byōbu,opaque,0.4525255859
byōbu,imported,0.4479338229
byōbu,shōji,0.4349147677
byōbu,sato,0.4180418253
byōbu,slide,0.4147709906
hisashi,moya,0.5809993148
hisashi,mokoshi,0.578050375
hisashi,ken,0.552241683
hisashi,storied,0.5274541974
hisashi,porch,0.4746430516
hisashi,bay,0.4733959436
hisashi,roofed,0.4563780427
hisashi,landshut,0.439053297
hisashi,pent,0.4386074841
hisashi,rear,0.4323140383
haiden,heiden,0.510412991
haiden,enshrine,0.5034259558
haiden,honden,0.4973344207
haiden,sandō,0.4388828576
haiden,rōmon,0.4293299317
haiden,shintai,0.4283778071
haiden,shrine,0.4267810285
haiden,worshiper,0.4194290638
haiden,shinmei,0.4142601788
haiden,kairō,0.4088769257
sandō,ura,0.6189872026
sandō,omote,0.6187313795
sandō,shrine,0.479177922
sandō,honden,0.4699054956
sandō,tōrō,0.4577174783
sandō,haiden,0.4388828576
sandō,entrance,0.4364034832
sandō,naiden,0.4265229702
sandō,straddle,0.4098111093
