target,word,similarity
ma,intense,0.6361413002
ma,locally,0.6273602247
ma,visible,0.6265120506
ma,fundamental,0.6254067421
ma,ideal,0.6248042583
ma,striking,0.62336725
ma,distinctive,0.6230810285
ma,characteristic,0.619591713
ma,remote,0.619083941
ma,vital,0.6187233925
mu,fundamental,0.6052029133
mu,intense,0.6047715545
mu,legendary,0.6047411561
mu,locally,0.5994387865
mu,visible,0.597812295
mu,ideal,0.5963743925
mu,remote,0.5963127613
mu,proper,0.5945759416
mu,vital,0.5918937922
mu,dense,0.5909029841
wabi,intense,0.6031268835
wabi,locally,0.6020488143
wabi,ideal,0.5999373198
wabi,distinctive,0.5958863497
wabi,visible,0.5958718061
wabi,characteristic,0.5958175659
wabi,legendary,0.5944203138
wabi,vital,0.5942444801
wabi,fundamental,0.5937714577
wabi,striking,0.5927190185
sabi,intense,0.607542634
sabi,locally,0.6013358235
sabi,ideal,0.6006032228
sabi,legendary,0.5965849757
sabi,vital,0.5961974859
sabi,fundamental,0.5959539413
sabi,mysterious,0.5949231386
sabi,visible,0.5946228504
sabi,distinctive,0.5942659378
sabi,striking,0.5935927033
wabi_sabi,intense,0.6186066866
wabi_sabi,ideal,0.6126479506
wabi_sabi,locally,0.6107394695
wabi_sabi,distinctive,0.6099104881
wabi_sabi,striking,0.60876441
wabi_sabi,visible,0.6087394953
wabi_sabi,characteristic,0.6085045338
wabi_sabi,mysterious,0.6084555984
wabi_sabi,fundamental,0.6071491838
wabi_sabi,vital,0.6020959616
en,locally,0.6132640243
en,legendary,0.6111423373
en,striking,0.6109104156
en,visible,0.609169364
en,distinctive,0.6075960398
en,fundamental,0.6042161584
en,intense,0.6041340232
en,characteristic,0.6030287743
en,proper,0.5998552442
en,dense,0.5992563963
engawa,visible,0.6205692291
engawa,striking,0.618039012
engawa,locally,0.6172689199
engawa,distinctive,0.6153329611
engawa,characteristic,0.6135216951
engawa,intense,0.6120140553
engawa,fundamental,0.6073556542
engawa,remote,0.6054838896
engawa,dense,0.6043423414
engawa,attractive,0.6041220427
shōji,locally,0.6182168722
shōji,dense,0.6170266271
shōji,striking,0.6131882668
shōji,transparent,0.6117928028
shōji,distinctive,0.6105777025
shōji,visible,0.6094053388
shōji,thick,0.6090540886
shōji,wooden,0.6072956324
shōji,characteristic,0.6044888496
shōji,intense,0.6017030478
fusuma,dense,0.5959054232
fusuma,locally,0.5933250189
fusuma,striking,0.5912575722
fusuma,thick,0.5892438889
