target,word,similarity
ma,improvisation,0.6648715734
ma,togetherness,0.6538637877
ma,psychotherapeutic,0.6419007778
ma,improviser,0.6358548999
ma,yohaku,0.6251430511
ma,shared,0.6025776267
ma,moment,0.5953394771
ma,atmosphere,0.5909867883
ma,tae,0.5799766183
ma,performer,0.5595736504
mu,benesse,0.5238087773
mu,interpenetration,0.4983145893
mu,nothingness,0.4868018031
mu,hashi,0.4841718376
mu,transmission,0.4804265797
mu,aidagara,0.4776465893
mu,koan,0.4702169001
mu,aware,0.4657694101
mu,phrase,0.4577932954
mu,word,0.4544004202
wabi,sabi,0.9316706657
wabi,imperfection,0.7645838857
wabi,embracing,0.7215366364
wabi,beauty,0.7191985846
wabi,aesthetic,0.6782678962
wabi,iki,0.6643221974
wabi,shibui,0.6570443511
wabi,imperfect,0.6364871264
wabi,patina,0.6250160933
wabi,delve,0.6190786958
sabi,wabi,0.9316706657
sabi,imperfection,0.745153904
sabi,beauty,0.7327739596
sabi,embracing,0.710362196
sabi,iki,0.6935881376
sabi,aesthetic,0.6756913662
sabi,shibui,0.6680332422
sabi,imperfect,0.6644077897
sabi,desolation,0.6390001178
sabi,patina,0.6218860149
en,kōraku,0.6422825456
en,sankei,0.6281667948
en,kenroku,0.6124684811
en,rikugi,0.5735871792
en,bonsai,0.5531767011
en,engawa,0.4965024889
en,suizen,0.4956233203
en,hara,0.4674052298
en,pond,0.4672022462
en,cascade,0.4510582089
engawa,outside,0.5605448484
engawa,shōji,0.5506192446
engawa,ama,0.5172418952
engawa,en,0.4965024889
engawa,garasu,0.4935797751
engawa,slide,0.474265039
engawa,veranda,0.4693950415
engawa,floored,0.4676412046
engawa,floorboard,0.4650703073
engawa,nice,0.4610972404
shōji,slide,0.8857096434
shōji,translucent,0.7954640985
shōji,fusuma,0.7798640728
shōji,kake,0.7246998549
shōji,door,0.7241048217
shōji,paper,0.7233458161
shōji,garasu,0.7178962827
shōji,katabiki,0.712792635
shōji,grooved,0.6914493442
shōji,sandwich,0.6780167222
fusuma,shōji,0.7798641324
fusuma,slide,0.7796307206
fusuma,partition,0.7048453093
fusuma,screen,0.6718013883
fusuma,paper,0.6558818221
fusuma,katabiki,0.6358363628
fusuma,kake,0.6205260158
fusuma,byōbu,0.6203272343
fusuma,alcove,0.6156116128
fusuma,door,0.611006856
tokonoma,alcove,0.8232560754
tokonoma,chigaidana,0.7361196876
tokonoma,room,0.7153086066
tokonoma,shelving,0.6459938288
tokonoma,toko,0.6405625343
tokonoma,staggered,0.623703897
tokonoma,desk,0.6236809492
tokonoma,shoin,0.6233922839
tokonoma,shelf,0.6230356097
tokonoma,tsuke,0.5778332353
chigaidana,tokonoma,0.7361196876
chigaidana,shelf,0.7144337893
chigaidana,staggered,0.7065169215
chigaidana,alcove,0.677710712
chigaidana,desk,0.5731200576
chigaidana,toko,0.5647988319
chigaidana,shoin,0.5610876679
chigaidana,room,0.5438969135
chigaidana,tsuke,0.533511281
chigaidana,zashiki,0.5332065225
doma,floored,0.7251017094
doma,earthfloored,0.7071478963
doma,daidokoro,0.6727713943
