run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
clean,WordSim353,Word2Vec CBOW,0.05107917405,0.2928791071,10000
clean,WordSim353_JA-EN,Word2Vec CBOW,0.05107917405,0.2928791071,10000
clean,WordSim353,Word2Vec Skip-gram,0.2132248617,0.4404691263,10000
clean,WordSim353_JA-EN,Word2Vec Skip-gram,0.2132248617,0.4404691263,10000
clean,WordSim353,BERT (Base),0.1935714315,0.39035259,10000
clean,WordSim353_JA-EN,BERT (Base),0.1935714315,0.39035259,10000
clean,WordSim353,BERT (Fine-Tuned),0.2208538726,0.4179441354,10000
clean,WordSim353_JA-EN,BERT (Fine-Tuned),0.2208538726,0.4179441354,10000
