target,word,similarity
ma,togetherness,0.6616163254
ma,performer,0.6454003453
ma,improviser,0.6219744086
ma,moment,0.5946648717
ma,improvisation,0.5930892825
ma,psychotherapeutic,0.5886081457
ma,tae,0.5442821383
ma,ai,0.540186286
ma,yohaku,0.5388320088
ma,intersubjective,0.5385757685
mu,bokeh,0.5162578821
mu,hashi,0.483255744
mu,essence,0.4780783057
mu,aidagara,0.4735970199
mu,negative,0.4659133852
mu,ma,0.4616536796
mu,phrase,0.4514376223
mu,kan,0.4485280514
mu,fujimoto,0.4456821382
mu,watsuji,0.4454603493
wabi,sabi,0.9318441749
wabi,embracing,0.712618351
wabi,imperfection,0.6937888861
wabi,beauty,0.6775102019
wabi,aesthetic,0.668680191
wabi,iki,0.6297275424
wabi,patina,0.6278348565
wabi,shibui,0.6235093474
wabi,yohaku,0.6138661504
wabi,imperfect,0.6067025661
sabi,wabi,0.9318441153
sabi,imperfection,0.7350710034
sabi,beauty,0.7322936654
sabi,embracing,0.6940705776
sabi,aesthetic,0.6699973941
sabi,shibui,0.6551702023
sabi,patina,0.6529528499
sabi,iki,0.638939023
sabi,imperfect,0.6382544637
sabi,desolation,0.6197197437
en,kenroku,0.6249962449
en,kōraku,0.6239379048
en,sankei,0.6163834333
en,rikugi,0.5584925413
en,bonsai,0.4989721179
en,suizen,0.4960696995
en,engawa,0.4348628223
en,pond,0.4161408246
en,naka,0.4063711166
en,hara,0.4004274309
engawa,outside,0.5597496033
engawa,shōji,0.5477122068
engawa,shutter,0.5368238091
engawa,sunlight,0.4761122465
engawa,indoors,0.4742251635
engawa,rain,0.4726768434
engawa,slide,0.4720290601
engawa,garasu,0.4665993154
engawa,floored,0.4651102722
engawa,ama,0.4516429901
shōji,slide,0.8797488213
shōji,translucent,0.7852528095
shōji,fusuma,0.7823142409
shōji,paper,0.7661119103
shōji,kake,0.7312960029
shōji,garasu,0.7238039374
shōji,sandwich,0.7021926045
shōji,katabiki,0.6850339174
shōji,yukimi,0.6839255095
shōji,partition,0.679951489
fusuma,shōji,0.7823141813
fusuma,slide,0.7606463432
fusuma,partition,0.714589119
fusuma,paper,0.6641010642
