target,word,similarity
ma,meaning,0.513705492
ma,sensory,0.4806759953
ma,mean,0.4784080982
ma,sleeping,0.4683057666
ma,essence,0.4675565064
ma,thing,0.4657839239
ma,engawa,0.4617293775
ma,evoke,0.4594963789
ma,dance,0.4500264227
ma,convey,0.448826611
mu,consciousness,0.4170194268
mu,shiki,0.4123186171
mu,phrase,0.4077766538
mu,resonance,0.4072991014
mu,ma,0.3952872455
mu,duality,0.3887837827
mu,essence,0.3863198161
mu,word,0.3848480284
mu,connotation,0.3785369098
mu,uncertainty,0.3774935305
wabi,calthorpe,0.4840548933
wabi,zumthor,0.4817402065
wabi,eisenman,0.4482950866
wabi,behrens,0.4370962977
wabi,tamagaki,0.4350539148
wabi,dreams,0.4327639937
wabi,watarai,0.4313930273
wabi,holkham,0.4300925136
wabi,mirrors,0.4130589068
wabi,ryōbu,0.3955360353
sabi,hi,0.5776222348
sabi,cha,0.4923080802
sabi,ornately,0.4819754362
sabi,crystallizee,0.4614793062
sabi,phaestus,0.4513370991
sabi,fordist,0.4407351613
sabi,imperfect,0.4354642034
sabi,coding,0.433144033
sabi,beauty,0.4243666828
sabi,cigarette,0.4191946089
en,pond,0.491728127
en,engawa,0.483273834
en,reed,0.4654985666
en,waterfall,0.4635582864
en,moon,0.457970649
en,stream,0.4571276903
en,water,0.4429411292
en,yard,0.4357123673
en,ji,0.4337803125
en,kabul,0.4310217202
engawa,en,0.4832738638
engawa,floor,0.4710651636
engawa,ma,0.4617293775
engawa,open,0.4446094036
engawa,ground,0.4300247133
engawa,essence,0.4245912135
engawa,ama,0.4234336317
engawa,sit,0.4151224792
engawa,moya,0.4086214006
engawa,partition,0.3984651268
shōji,slide,0.7187821269
shōji,door,0.6312915683
shōji,translucent,0.6015805006
shōji,fusuma,0.5855848789
shōji,paper,0.5849525332
shōji,lattice,0.5832138658
shōji,shutter,0.5814294219
shōji,hang,0.5616232753
shōji,ama,0.5324652195
shōji,partition,0.5270590782
fusuma,partition,0.6107766032
fusuma,slide,0.5966394544
fusuma,shōji,0.5855848193
fusuma,alcove,0.5199218392
fusuma,kake,0.4973837435
fusuma,door,0.4900644124
fusuma,screen,0.4676671922
fusuma,byōbu,0.4590732455
fusuma,cupboard,0.450743258
fusuma,paneled,0.4409989417
tokonoma,shelving,0.5865849257
tokonoma,shelf,0.5289399624
tokonoma,room,0.5130856633
tokonoma,mat,0.5013464689
tokonoma,staggered,0.4956797063
tokonoma,alcove,0.4802678823
tokonoma,desk,0.4751847684
tokonoma,shoin,0.4525265694
tokonoma,tatami,0.4471273422
tokonoma,mizuya,0.4445922077
chigaidana,alcove,0.5836184025
chigaidana,portcullis,0.4127543569
chigaidana,shelf,0.3996674418
chigaidana,tokonoma,0.3973138332
chigaidana,desk,0.3923742175
chigaidana,plentiful,0.391708523
chigaidana,swinge,0.3886069953
chigaidana,cupboard,0.3797357082
chigaidana,taian,0.3771269023
chigaidana,pedestal,0.371125102
doma,medianum,0.5459018946
doma,earthfloored,0.5428988338
doma,floored,0.5176606178
doma,sleeping,0.4606752396
doma,packed,0.4551549256
doma,mountainous,0.45069924
doma,outdoor,0.4444087148
doma,kitchen,0.44211182
doma,storage,0.4406744242
doma,flooring,0.4227282107
genkan,barragán,0.4974852502
genkan,kodama,0.4505847096
genkan,izumo,0.3917901218
genkan,mandapam,0.3914581537
genkan,listening,0.3856381476
genkan,mimar,0.3833301663
genkan,subotica,0.3644961417
genkan,tathāgatagārbha,0.3640706241
genkan,seasonally,0.3637671471
genkan,lorme,0.3616871834
tomeishi,ikezuishi,0.4267938137
tomeishi,impress,0.4167330861
tomeishi,realisation,0.3847181797
tomeishi,stay,0.3821613789
tomeishi,bureaucracy,0.3709226251
tomeishi,wine,0.3611645401
tomeishi,chichibu,0.3561496735
tomeishi,gravel,0.3537186384
tomeishi,kuin,0.3533815145
tomeishi,paved,0.3500830233
ikezuishi,emerald,0.5117868185
ikezuishi,ikezu,0.4343151152
ikezuishi,strange,0.4286760688
ikezuishi,tomeishi,0.4267937839
ikezuishi,evaporation,0.40364483
ikezuishi,smallness,0.4020561576
ikezuishi,moss,0.3992882073
ikezuishi,gravel,0.3929222524
ikezuishi,horizon,0.391412288
ikezuishi,okiya,0.3888002336
shakkei,scenery,0.4863041639
shakkei,borrow,0.4662807882
shakkei,yard,0.4545534253
shakkei,landscape,0.4503037632
shakkei,poem,0.423805505
shakkei,yarding,0.4162573516
shakkei,japanese,0.4089988172
shakkei,en,0.4006183445
shakkei,kaiyū,0.3980389237
shakkei,yuanye,0.3815968931
roji,chanoyu,0.4256002307
roji,plot,0.4064251482
roji,activism,0.4033240676
roji,informality,0.3965976834
roji,stourhead,0.389888972
roji,nets,0.386941582
roji,ichi,0.3850402236
roji,yunqi,0.3808537126
roji,marker,0.3807710409
roji,spatially,0.3796100318
torii,shrine,0.6100683808
torii,jinja,0.5477787256
torii,sha,0.537294805
torii,gū,0.5360122323
torii,zukuri,0.5125638843
torii,kasagi,0.5118713379
torii,myōjin,0.5053995848
torii,nakayama,0.4858370125
torii,inari,0.4683333039
torii,shinmei,0.4663172662
shimenawa,buyer,0.3788025975
shimenawa,mikoshi,0.375033468
shimenawa,resilient,0.3641136587
shimenawa,harvest,0.3577505648
shimenawa,easy,0.3495028317
shimenawa,matcha,0.3468018472
shimenawa,gyokuro,0.3443351984
shimenawa,logos,0.3439525664
shimenawa,plantation,0.337387681
shimenawa,consume,0.3336084783
tsuboniwa,niwa,0.4785829484
tsuboniwa,enclosed,0.4543718696
tsuboniwa,sakuteiki,0.4395284653
tsuboniwa,promenade,0.4288643897
tsuboniwa,lawn,0.424757123
tsuboniwa,kitchen,0.4224764705
tsuboniwa,stroll,0.4177761972
tsuboniwa,terrace,0.3935011029
tsuboniwa,pool,0.3924407065
tsuboniwa,sleeping,0.3740589917
byōbu,screen,0.5409235358
byōbu,paper,0.4770869613
byōbu,panel,0.4703836143
byōbu,fusuma,0.4590732455
byōbu,opaque,0.4529091716
byōbu,imported,0.4434998631
byōbu,slide,0.4316732883
byōbu,painting,0.4315141141
byōbu,shōji,0.4231045544
byōbu,door,0.404238224
hisashi,moya,0.5728278756
hisashi,mokoshi,0.5633250475
hisashi,ken,0.5599132776
hisashi,storied,0.487898767
hisashi,bay,0.4686538875
hisashi,pent,0.4536828101
hisashi,arcaded,0.4507635534
hisashi,tahōtō,0.4471039176
hisashi,corridor,0.4402489662
hisashi,garan,0.4219312072
haiden,heiden,0.5042605996
haiden,enshrine,0.4564246833
haiden,honden,0.4513976574
haiden,shintai,0.438783288
haiden,rōmon,0.4358682632
haiden,sandō,0.4320071042
haiden,offering,0.4235425591
haiden,shimane,0.3975127935
haiden,kairō,0.3925724626
haiden,shinmei,0.3860415518
sandō,omote,0.6084151268
sandō,ura,0.5886898637
sandō,honden,0.4863823056
sandō,shrine,0.4701815248
sandō,tōrō,0.462174803
sandō,naiden,0.460482806
sandō,entrance,0.4329068661
sandō,haiden,0.4320071638
sandō,gate,0.4253360331
sandō,ltd,0.4142990112
aware,evoke,0.445658356
aware,convey,0.4414106011
aware,sensibility,0.4398496151
aware,creative,0.4322013557
aware,ma,0.4163174331
aware,heighten,0.4152890146
aware,embrace,0.3981417716
aware,melancholy,0.3952377141
aware,sensory,0.3801802695
aware,symbiosis,0.3772717416
honden,shinmei,0.5369262099
honden,rōmon,0.5329796672
honden,shrine,0.4934772849
honden,sandō,0.4863822758
honden,ken,0.4851877987
honden,hachiman,0.4776591063
honden,jinja,0.472708106
honden,ise,0.4683752358
honden,enshrine,0.4663355649
honden,heiden,0.4635306895
chashitsu,teahouse,0.6109672785
chashitsu,shoin,0.5471994877
chashitsu,chanoyu,0.5341758132
chashitsu,plantation,0.5005185604
chashitsu,dōjinsai,0.4938867092
chashitsu,room,0.4770499468
chashitsu,tea,0.475361675
chashitsu,tatami,0.4686358273
chashitsu,ceremony,0.4543744028
chashitsu,powder,0.4432628751
karesansui,sand,0.4632799029
karesansui,horai,0.4335851967
karesansui,waterfall,0.4251818657
karesansui,pond,0.3973214626
karesansui,ryōan,0.3867162466
karesansui,arashiyama,0.3798497319
karesansui,glen,0.3756216466
karesansui,undeniable,0.3751369715
karesansui,promenade,0.3733804524
karesansui,seki,0.3646959662
