run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
clean,WordSim353,Word2Vec CBOW,0.04948704414,0.2884589477,10000
clean,WordSim353_JA-EN,Word2Vec CBOW,0.04948704414,0.2884589477,10000
clean,WordSim353,Word2Vec Skip-gram,0.2179596676,0.4458497555,10000
clean,WordSim353_JA-EN,Word2Vec Skip-gram,0.2179596676,0.4458497555,10000
clean,WordSim353,BERT (Base),0.1963684241,0.3905692494,10000
clean,WordSim353_JA-EN,BERT (Base),0.1963684241,0.3905692494,10000
clean,WordSim353,BERT (Fine-Tuned),0.2260974117,0.4194766902,10000
clean,WordSim353_JA-EN,BERT (Fine-Tuned),0.2260974117,0.4194766902,10000
