Metric,Mode,Task,Model,Mean,Std,N
WordSim,FULL,WordSim353,BERT (Base),0.29439023840000006,6.080941944488117e-17,6
WordSim,FULL,WordSim353,BERT (Fine-Tuned),0.34309936691666665,0.027291377106276188,6
WordSim,FULL,WordSim353,Word2Vec CBOW,0.17891423348333332,0.012818148458190133,6
WordSim,FULL,WordSim353,Word2Vec Skip-gram,0.3288500900833333,0.00616141092200561,6
WordSim,FULL,WordSim353_JA-EN,BERT (Base),0.29439023840000006,6.080941944488117e-17,6
WordSim,FULL,WordSim353_JA-EN,BERT (Fine-Tuned),0.34309936691666665,0.027291377106276188,6
WordSim,FULL,WordSim353_JA-EN,Word2Vec CBOW,0.17891423348333332,0.012818148458190133,6
WordSim,FULL,WordSim353_JA-EN,Word2Vec Skip-gram,0.3288500900833333,0.00616141092200561,6
