run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
full,WordSim353,Word2Vec CBOW,0.03531883278,0.2824670313,10000
full,WordSim353_JA-EN,Word2Vec CBOW,0.03531883278,0.2824670313,10000
full,WordSim353,Word2Vec Skip-gram,0.1932677448,0.4244705883,10000
full,WordSim353_JA-EN,Word2Vec Skip-gram,0.1932677448,0.4244705883,10000
full,WordSim353,BERT (Base),0.1938654084,0.3889657125,10000
full,WordSim353_JA-EN,BERT (Base),0.1938654084,0.3889657125,10000
full,WordSim353,BERT (Fine-Tuned),0.2245126834,0.4209701458,10000
full,WordSim353_JA-EN,BERT (Fine-Tuned),0.2245126834,0.4209701458,10000
