run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
clean,WordSim353,Word2Vec CBOW,0.0832053053,0.3181024002,10000
clean,WordSim353_JA-EN,Word2Vec CBOW,0.0832053053,0.3181024002,10000
clean,WordSim353,Word2Vec Skip-gram,0.2015745463,0.4293480017,10000
clean,WordSim353_JA-EN,Word2Vec Skip-gram,0.2015745463,0.4293480017,10000
clean,WordSim353,BERT (Base),0.1938654084,0.3889657125,10000
clean,WordSim353_JA-EN,BERT (Base),0.1938654084,0.3889657125,10000
clean,WordSim353,BERT (Fine-Tuned),0.281726771,0.4707879997,10000
clean,WordSim353_JA-EN,BERT (Fine-Tuned),0.281726771,0.4707879997,10000
