target,word,similarity
ma,meaning,0.4877136648
ma,togetherness,0.4742076993
ma,imperfection,0.463321656
ma,engawa,0.4616352916
ma,participant,0.4438609481
ma,atmosphere,0.4421958327
ma,dance,0.4381131232
ma,sleeping,0.4360869825
ma,evoke,0.4353028536
ma,essence,0.4340691566
mu,consciousness,0.4283542931
mu,word,0.4221642613
mu,essence,0.4084472954
mu,novel,0.4008191824
mu,transience,0.3897895217
mu,poem,0.3854820132
mu,ma,0.3841046393
mu,phrase,0.3724544942
mu,huainanzi,0.3722277284
mu,shiki,0.3714512885
wabi,zumthor,0.4934074581
wabi,calthorpe,0.4576890171
wabi,behrens,0.4563836157
wabi,dreams,0.4442420304
wabi,eisenman,0.4379004836
wabi,watarai,0.4368219674
wabi,holkham,0.425023675
wabi,remmen,0.4224021137
wabi,tamagaki,0.4218724966
wabi,lyric,0.4000603557
sabi,hi,0.5699856877
sabi,phaestus,0.4874379933
sabi,cha,0.4715267122
sabi,ornately,0.4707958698
sabi,imperfect,0.4632126689
sabi,beauty,0.4505008161
sabi,crystallizee,0.4385232329
sabi,fordist,0.4383643568
sabi,imperfection,0.4262568355
sabi,weathering,0.4252819717
en,stream,0.4844348133
en,waterfall,0.477683723
en,engawa,0.4709407389
en,pond,0.4562160671
en,reed,0.4524343014
en,kabul,0.4315502644
en,kagawa,0.4232285321
en,water,0.4223386943
en,moon,0.4129935801
en,yard,0.4096619189
engawa,en,0.4709407985
engawa,ma,0.4616352618
engawa,open,0.4531727433
engawa,floor,0.426468879
engawa,storehouse,0.4194819629
engawa,ama,0.4194509387
engawa,essence,0.4158529639
engawa,ground,0.4145750105
engawa,sit,0.4140497744
engawa,walkway,0.4006342888
shōji,slide,0.7287756205
shōji,door,0.6580834985
shōji,translucent,0.6080964208
shōji,paper,0.6070233583
shōji,shutter,0.5897479653
shōji,fusuma,0.5852859616
shōji,lattice,0.5557275414
shōji,groove,0.5532009006
shōji,ama,0.5311961174
shōji,hang,0.5265265107
fusuma,partition,0.610401094
fusuma,shōji,0.5852859616
fusuma,slide,0.5715242028
fusuma,alcove,0.5205894709
fusuma,kake,0.5056166649
fusuma,screen,0.4960413873
fusuma,door,0.4927276373
fusuma,byōbu,0.4547255635
fusuma,opaque,0.4417734742
fusuma,tatami,0.4359185696
tokonoma,shelving,0.5464974642
tokonoma,room,0.5354366302
tokonoma,shelf,0.5286226869
tokonoma,mat,0.5050688982
tokonoma,alcove,0.4941280782
tokonoma,staggered,0.4921323955
tokonoma,tatami,0.4808977544
tokonoma,desk,0.4758190215
tokonoma,chashitsu,0.4528048038
tokonoma,mizuya,0.4416427612
chigaidana,alcove,0.5894542336
chigaidana,hang,0.4254864156
chigaidana,desk,0.4162133336
chigaidana,seiza,0.4033414423
chigaidana,shelf,0.4016762078
chigaidana,portcullis,0.4000197649
chigaidana,room,0.3977735341
chigaidana,pedestal,0.3949607015
chigaidana,vase,0.3932216465
chigaidana,swinge,0.3887255788
doma,earthfloored,0.5120198727
doma,medianum,0.5037673712
doma,floored,0.4798968136
doma,mountainous,0.465040952
doma,outdoor,0.4616426229
doma,sleeping,0.4515249431
doma,storage,0.4383178055
doma,kitchen,0.4268025756
doma,adjustable,0.3996647894
