target,word,similarity
ma,meaning,0.4777240157
ma,sleeping,0.4532247782
ma,togetherness,0.451113075
ma,shadow,0.4496956468
ma,sensory,0.4492661655
ma,performer,0.4444558024
ma,imperfection,0.4421412349
ma,essence,0.4402405322
ma,dance,0.4393677413
ma,dialogical,0.4339434803
mu,consciousness,0.4273588359
mu,shiki,0.4253456593
mu,transience,0.4223689735
mu,essence,0.3984902203
mu,novel,0.3952007294
mu,huainanzi,0.3921405375
mu,uncertainty,0.3897103965
mu,resonance,0.3850087225
mu,stimulus,0.3826510012
mu,quietly,0.3762943149
wabi,calthorpe,0.4888510406
wabi,zumthor,0.4868855774
wabi,behrens,0.4864803255
wabi,eisenman,0.4632119536
wabi,mirrors,0.4492950439
wabi,holkham,0.4423272014
wabi,dreams,0.42824471
wabi,watarai,0.4255536497
wabi,abelard,0.4157493114
wabi,tamagaki,0.4150747061
sabi,hi,0.5682369471
sabi,cha,0.5071037412
sabi,ornately,0.4970032871
sabi,phaestus,0.4730514884
sabi,fordist,0.4676699042
sabi,beauty,0.4670162201
sabi,imperfect,0.4395120144
sabi,weathering,0.4365267456
sabi,imperfection,0.4295169115
sabi,confession,0.4265871644
en,pond,0.4851720631
en,engawa,0.4732423723
en,moon,0.4607015848
en,stream,0.4506356716
en,waterfall,0.4461026788
en,ji,0.4306088388
en,bridge,0.4279748797
en,kabul,0.427813679
en,cascade,0.4273013473
en,kyōto,0.4232745171
engawa,en,0.4732423723
engawa,floor,0.4669105411
engawa,ground,0.4361025393
engawa,open,0.4309103191
engawa,moya,0.4220896661
engawa,ma,0.4168344736
engawa,mezzanine,0.4151279628
engawa,essence,0.4130122364
engawa,ama,0.410499543
engawa,hisashi,0.4072766602
shōji,slide,0.7110409141
shōji,door,0.6429225206
shōji,fusuma,0.6280711889
shōji,paper,0.6108321548
shōji,lattice,0.610473156
shōji,translucent,0.6006754041
shōji,shutter,0.5917748213
shōji,ama,0.5245555639
shōji,groove,0.5240057111
shōji,hang,0.5215735435
fusuma,shōji,0.6280712485
