run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
full,WordSim353,Word2Vec CBOW,0.0543239353,0.3043538795,10000
full,WordSim353_JA-EN,Word2Vec CBOW,0.0543239353,0.3043538795,10000
full,WordSim353,Word2Vec Skip-gram,0.2133874695,0.4424978955,10000
full,WordSim353_JA-EN,Word2Vec Skip-gram,0.2133874695,0.4424978955,10000
full,WordSim353,BERT (Base),0.1944980274,0.3888146571,10000
full,WordSim353_JA-EN,BERT (Base),0.1944980274,0.3888146571,10000
full,WordSim353,BERT (Fine-Tuned),0.2971127596,0.4820268325,10000
full,WordSim353_JA-EN,BERT (Fine-Tuned),0.2971127596,0.4820268325,10000
