target,word,similarity
ma,sense,0.5660275221
ma,performer,0.5637413859
ma,atmosphere,0.5076976418
ma,feeling,0.4949397147
ma,dance,0.4792740047
ma,meaning,0.4756773114
ma,space,0.4724004865
ma,togetherness,0.4640692472
ma,word,0.4587057531
ma,mean,0.4579545259
mu,resonance,0.4642191529
mu,novel,0.407785207
mu,explain,0.4032678008
mu,aidagara,0.4029452503
mu,ma,0.3980203569
mu,essence,0.3853591084
mu,saying,0.3692489266
mu,bush,0.3691406846
mu,avatamsaka,0.3691033721
mu,connotation,0.3672816157
wabi,bright,0.417604506
wabi,charm,0.4116569459
wabi,oregon,0.4093954563
wabi,properties,0.4027554691
wabi,sho,0.3984912336
wabi,appreciation,0.3958414197
wabi,texture,0.3929146826
wabi,japanese,0.391558975
wabi,value,0.3853161335
wabi,enjoyment,0.3799775541
sabi,beauty,0.5522665381
sabi,imperfect,0.4873050749
sabi,loneliness,0.4576617777
sabi,sense,0.4513851404
sabi,trent,0.4322354198
sabi,cha,0.4285409153
sabi,memetic,0.4125074744
sabi,encyclopedia,0.3953257799
sabi,skandha,0.3897990584
sabi,tudorbethan,0.3893523216
en,okayama,0.4781410098
en,sankei,0.4387037158
en,hara,0.4246829748
en,prefecture,0.4010906518
en,engawa,0.3985954523
en,reed,0.3895829618
en,stream,0.3802086413
en,cascade,0.3800010085
en,byōdō,0.3732837737
en,kabul,0.3732204735
engawa,veranda,0.4266552925
engawa,ama,0.4038453698
engawa,feel,0.4008500278
engawa,en,0.3985954821
engawa,experience,0.3885788918
engawa,outside,0.3860946
engawa,flooring,0.3851757348
engawa,space,0.3819023073
engawa,shōji,0.3814499676
engawa,box,0.3764501214
shōji,slide,0.70790416
shōji,door,0.7005094886
shōji,paper,0.5945782661
shōji,shutter,0.5731226802
shōji,fusuma,0.5650295615
shōji,ama,0.5339933634
shōji,translucent,0.5299373269
shōji,lattice,0.5221094489
shōji,groove,0.5183929205
shōji,partition,0.5133830905
fusuma,shōji,0.5650295019
fusuma,partition,0.5363816619
fusuma,slide,0.5008628964
fusuma,door,0.484049201
fusuma,tokonoma,0.4703754187
fusuma,alcove,0.4700956047
fusuma,yukimi,0.4685957134
fusuma,paper,0.4675377607
fusuma,translucent,0.4477640092
fusuma,tatami,0.440661341
tokonoma,alcove,0.5350131989
tokonoma,room,0.5108320117
tokonoma,shelf,0.4861755967
tokonoma,typically,0.4828276932
tokonoma,fusuma,0.4703754485
tokonoma,desk,0.4609442353
tokonoma,shelving,0.4588509798
tokonoma,mat,0.4526312053
tokonoma,shoin,0.4415211976
tokonoma,chashitsu,0.4355716109
chigaidana,alcove,0.6249027848
chigaidana,slide,0.4551907778
chigaidana,shelf,0.4487452507
