run_mode,Set,Model,CI_Lower,CI_Upper,N_Bootstraps
clean,WordSim353,Word2Vec CBOW,0.05625768387,0.3013569512,10000
clean,WordSim353_JA-EN,Word2Vec CBOW,0.05625768387,0.3013569512,10000
clean,WordSim353,Word2Vec Skip-gram,0.2079823295,0.4392562147,10000
clean,WordSim353_JA-EN,Word2Vec Skip-gram,0.2079823295,0.4392562147,10000
clean,WordSim353,BERT (Base),0.1944980274,0.3888146571,10000
clean,WordSim353_JA-EN,BERT (Base),0.1944980274,0.3888146571,10000
clean,WordSim353,BERT (Fine-Tuned),0.2413603506,0.4341222887,10000
clean,WordSim353_JA-EN,BERT (Fine-Tuned),0.2413603506,0.4341222887,10000
